"ID","StuNun","Data"
"19","es39","奶頭"
"25","es24","馬眼"
"26","es17","9o]["
"35","es34","奶頭"
"41","es34","奶頭偷偷被人惡作劇"
"119","fs06","大棒棒"
"140","fs02","A片光碟"
"142","fs02","奶頭"
"143","fs02","穴穴"
"145","fs20","東京HOT光碟"
"146","fs20","波多野結衣系列珍藏"
"165","fs11","大乳暈"
"166","fs26","TokyoHot光碟"
"169","fs11","馬眼"
"171","fs11","屁眼"
"172","fs26","波多野結衣系列光碟"
"181","fs26","Animate光碟"
"284","fs05","屁眼"
"285","fs09","屁眼"
"292","fs09","睪丸"
"294","fs05","奶頭"
"296","fs09","乳房"
"376","hs08","奶頭"
"392","gs11","奶頭"
"393","gs11","乳暈"
"403","gs05","屁股"
"407","gs21","奶頭"
"408","gs21","胸部"
"409","gs21","乳房"
"417","gs21","奶子"
"419","gs05","乳暈"
"420","gs15","胸部"
"427","gs18","奶頭"
"429","gs18","乳暈"
"449","gs07","奶頭"
"451","gs07","乳暈"
"460","gs23","奶子"
"472","gs23","肛門"
"502","gs35","奶頭"
"524","gs25","奶頭"
"529","gs25","龜頭"
"530","gs33","奶頭"
"531","gs02","奶頭"
"532","gs24","奶頭"
"538","gs37","奶頭"
"543","gs25","大便"
"576","gs13","奶頭"
"659","gs37","屁眼"
"660","gs09","奶頭"
"701","gs04","奶頭"
"723","gs14","奶頭"
"725","gs03","乳暈"
"734","gs14","乳暈"
"785","gs12","乳暈"
"811","gs38","奶頭"
"826","gs08","胸部"
"834","gs17","胸部"
"853","gs40","奶頭"
"855","gs40","乳暈"
"861","gs31","乳暈"
"882","gs39","奶頭"
"886","gs39","乳暈"
"891","gs10","奶頭"
"900","hs17","奶子"
"901","hs17","乳暈"
"926","hs41","奶子"
"927","hs41","乳暈"
"935","hs34","奶頭"
"941","hs34","乳暈"
"958","hs05","奶頭"
"990","hs05","乳暈"
"1005","hs03","女性乳房"
"1009","hs28","乳頭"
"1025","hs06","奶子"
"1083","hs24","乳房"
"1107","hs15","乳暈"
"1113","hs15","乳頭"
"1119","hs21","奶頭"
"1127","hs21","乳暈"
"1131","hs19","奶頭"
"1316","hs06","奶子"
"1545","bs01","奶頭"
"1550","bs19","乳頭"
"1559","bs19","乳暈"
"1560","bs19","胸部"
"1685","hs19","奶頭"
"1799","is08","大釣哥"
"1800","is08","大釣哥"
"1801","is08","大釣哥"
"1802","is08","大釣哥"
"1803","is08","大釣哥"
"1804","is08","大釣哥"
"1805","is08","大釣哥"
"1806","is08","大釣哥"
"1807","is08","大釣哥"
"1808","is08","大釣哥"
"1809","is08","大釣哥"
"1810","is08","大釣哥"
"1811","is08","大釣哥"
"1814","is08","大釣哥"
"1816","is08","大釣哥"
"1817","is08","大釣哥"
"1818","is08","大釣哥"
"1819","is08","大釣哥"
"1820","is08","大釣哥"
"1821","is08","大釣哥"
"1822","is08","大釣哥"
"1823","is08","大釣哥"
"1824","is08","大釣哥"
"1825","is08","大釣哥"
"1826","is08","大釣哥"
"1827","is08","大釣哥"
"1828","is08","大釣哥"
"1829","is08","大釣哥"
"1833","is06","奶頭"
"1939","is24","小穴"
"1953","is24","腎虛"
"1961","is24","肛門"
"2046","is12","奶頭"
"2054","is42","泌穴"
"2061","is22","奶頭"
"2349","as02","乳頭"
"2381","as24","奶頭"
"2804","js42","陰道"
"2953","js09","奶頭"
"2960","js22","肛門"
